,RESULTS,TIMESTAMP,V60,V65,V66,V206,V342,INDEX,m,d,h
44,-1,2008-07-29 06:19:00,8.3045,31.6955,41.5512,7.09,2.1769,44,6,1,6
45,1,2008-07-29 08:23:00,5.03,34.97,38.8982,20.78,6.6739,45,6,1,8
46,-1,2008-07-29 11:47:00,12.0945,27.9055,36.6103,7.93,2.3972,46,6,1,11
47,-1,2008-07-29 15:41:00,23.1373,16.8627,22.3489,13.94,3.5742,47,6,1,15
48,1,2008-07-29 15:49:00,25.0382,14.9618,20.2052,19.73,5.6218,48,6,1,15
49,1,2008-07-29 17:05:00,23.3109,16.6891,20.8271,7.37,2.3758,49,6,1,17
50,1,2008-07-29 18:08:00,23.9555,16.0445,21.1546,6.49,2.2094,50,6,1,18
51,-1,2008-07-29 21:07:00,21.39,18.61,26.658,4.5,1.3506,51,6,1,21
52,-1,2008-07-29 23:14:00,1.5882,38.4118,46.7625,4.34,1.2342,52,6,1,23
53,-1,2008-07-29 23:19:00,0.6782,19.3218,27.7301,7.24,1.939,53,6,1,23
54,-1,2008-07-30 06:30:00,20.0455,19.9545,26.3171,9.6,2.5763,54,6,2,6
55,-1,2008-07-30 07:08:00,21.8964,18.1036,23.5885,14.76,4.1814,55,6,2,7
56,-1,2008-07-30 12:02:00,22.8809,17.1191,23.0468,7.69,2.0947,56,6,2,12
57,1,2008-07-30 12:29:00,2.5209,37.4791,46.2635,6.76,1.9747,57,6,2,12
58,1,2008-07-30 21:16:00,15.9527,24.0473,30.4154,5.36,1.841,58,6,2,21
59,-1,2008-07-31 13:57:00,-1.6545,21.6545,29.9145,9.88,2.7673,59,6,3,13
60,-1,2008-07-31 15:36:00,6.7391,33.2609,39.586999999999996,10.91,3.5515,60,6,3,15
61,-1,2008-07-31 17:07:00,13.8118,26.1882,36.5543,6.67,1.8133,61,6,3,17
62,1,2008-07-31 20:18:00,18.3209,21.6791,29.9815,3.25,0.9517,62,6,3,20
63,-1,2008-01-08 02:02:00,16.4582,23.5418,32.3378,7.31,2.2359,63,0,1,2
64,1,2008-01-08 05:52:00,9.05,30.95,39.683,9.21,2.7566,64,0,1,5
65,-1,2008-01-08 10:20:00,18.8309,21.1691,29.5773,4.92,1.5014,65,0,1,10
66,-1,2008-01-08 10:26:00,18.2809,21.7191,29.8969,6.52,2.0287,66,0,1,10
67,-1,2008-01-08 11:28:00,19.8,20.2,28.6955,10.58,3.0385,67,0,1,11
68,-1,2008-01-08 12:29:00,11.6818,28.3182,38.8044,9.14,2.6145,68,0,1,12
69,-1,2008-01-08 14:07:00,22.4345,17.5655,25.4333,8.88,2.8337,69,0,1,14
70,-1,2008-01-08 15:10:00,17.1627,22.8373,28.6681,9.25,2.3283,70,0,1,15
71,-1,2008-02-08 03:39:00,25.4573,14.5427,20.874000000000002,17.77,4.3278,71,1,4,3
72,-1,2008-03-08 13:09:00,20.5509,19.4491,24.9395,5.76,1.578,72,2,5,13
73,-1,2008-03-08 14:06:00,18.6827,21.3173,28.9468,11.21,3.5425,73,2,5,14
74,-1,2008-03-08 14:25:00,25.4427,14.5573,22.6504,9.34,2.6175,74,2,5,14
75,-1,2008-03-08 15:03:00,17.6373,22.3627,31.3539,7.48,2.0763,75,2,5,15
76,-1,2008-03-08 15:27:00,24.3509,15.6491,23.1757,7.97,2.4299,76,2,5,15
77,-1,2008-03-08 16:00:00,12.0627,27.9373,38.0327,7.48,2.5452,77,2,5,16
78,-1,2008-03-08 17:00:00,9.5227,30.4773,40.9448,8.87,2.4372,78,2,5,17
79,-1,2008-03-08 17:58:00,22.9245,17.0755,22.9914,10.01,2.6519999999999997,79,2,5,17
80,-1,2008-03-08 20:23:00,9.3336,30.6664,41.5043,12.04,3.8128,80,2,5,20
81,-1,2008-03-08 22:52:00,12.5391,27.4609,37.4506,12.97,3.7387,81,2,5,22
82,1,2008-04-08 00:39:00,12.4309,27.5691,37.4995,15.98,4.3472,82,3,1,0
83,-1,2008-04-08 03:45:00,28.6355,11.3645,18.6261,3.96,1.2652,83,3,1,3
84,-1,2008-04-08 03:49:00,8.6927,31.3073,42.1115,4.34,1.5264,84,3,1,3
85,-1,2008-04-08 13:19:00,-5.3055,25.3055,31.4125,5.36,1.5845,85,3,1,13
86,-1,2008-04-08 14:04:00,-8.7491,28.7491,35.3973,7.46,2.3007,86,3,1,14
87,-1,2008-04-08 14:31:00,26.6582,13.3418,17.0797,6.94,2.1337,87,3,1,14
88,-1,2008-04-08 15:29:00,28.7064,11.2936,15.0708,5.34,1.5644,88,3,1,15
89,-1,2008-04-08 16:15:00,-8.2255,28.2255,37.532,7.58,2.0766,89,3,1,16
90,-1,2008-04-08 16:31:00,28.1191,11.8809,18.6476,5.06,1.5086,90,3,1,16
91,-1,2008-04-08 17:11:00,8.6673,11.3327,18.5853,5.2,1.3513,91,3,1,17
92,-1,2008-04-08 17:46:00,3.8509,16.1491,21.2791,5.05,1.9747,92,3,1,17
93,-1,2008-04-08 18:24:00,-15.1964,35.1964,38.7128,3.35,1.1931,93,3,1,18
94,-1,2008-04-08 19:58:00,-6.4836,26.4836,34.5138,5.94,1.9658,94,3,1,19
95,-1,2008-04-08 20:32:00,-11.2182,31.2182,39.6995,6.06,1.9708,95,3,1,20
96,1,2008-04-08 20:58:00,11.5591,28.4409,39.2802,19.65,6.1589,96,3,1,20
97,-1,2008-04-08 21:43:00,28.4227,11.5773,17.7542,9.77,3.0585,97,3,1,21
98,-1,2008-04-08 22:51:00,24.4727,15.5273,19.7605,7.35,2.3407,98,3,1,22
99,-1,2008-04-08 23:33:00,5.1345,34.8655,40.4495,4.75,1.528,99,3,1,23
100,-1,2008-05-08 00:04:00,24.8064,15.1936,19.4876,10.74,2.7483,100,4,3,0
101,-1,2008-05-08 01:12:00,27.6182,12.3818,16.218,9.05,2.4065,101,4,3,1
102,-1,2008-05-08 02:15:00,20.5864,19.4136,27.3648,6.97,2.1202,102,4,3,2
103,-1,2008-05-08 02:36:00,27.6655,12.3345,18.6255,5.63,1.9457,103,4,3,2
104,-1,2008-05-08 02:45:00,29.0264,10.9736,18.2111,9.99,2.4929,104,4,3,2
105,-1,2008-05-08 03:17:00,27.7364,12.2636,19.7743,8.72,2.2563,105,4,3,3
106,-1,2008-05-08 03:36:00,24.8282,15.1718,20.2521,7.17,2.1787,106,4,3,3
107,-1,2008-05-08 03:54:00,24.6118,15.3882,22.1592,4.41,1.5038,107,4,3,3
108,-1,2008-05-08 04:32:00,27.7155,12.2845,18.9827,15.56,4.0428,108,4,3,4
109,-1,2008-05-08 04:35:00,23.7864,16.2136,21.1535,6.89,1.9311,109,4,3,4
110,-1,2008-05-08 05:11:00,20.6,19.4,25.2665,6.55,1.6885,110,4,3,5
111,-1,2008-05-08 06:10:00,29.7509,10.2491,16.2643,13.83,3.9229,111,4,3,6
112,-1,2008-05-08 06:11:00,23.9945,16.0055,23.4847,5.36,1.9468,112,4,3,6
113,-1,2008-05-08 06:21:00,16.7909,23.2091,29.5358,5.11,1.5979,113,4,3,6
114,-1,2008-05-08 07:12:00,23.7136,16.2864,21.8375,12.02,3.5884,114,4,3,7
115,1,2008-05-08 07:12:00,18.5764,21.4236,30.0601,19.62,5.858,115,4,3,7
116,-1,2008-05-08 07:48:00,24.2918,15.7082,21.5957,6.14,1.594,116,4,3,7
117,-1,2008-05-08 08:50:00,25.5127,14.4873,22.1353,7.74,2.5308,117,4,3,8
118,-1,2008-05-08 09:48:00,26.7064,13.2936,20.442999999999998,10.12,2.6167,118,4,3,9
119,-1,2008-05-08 14:17:00,8.9136,31.0864,41.2374,10.22,2.9373,119,4,3,14
120,-1,2008-05-08 14:45:00,8.9418,31.0582,39.9438,6.12,1.9024,120,4,3,14
121,-1,2008-05-08 15:45:00,6.9918,33.0082,44.0701,7.2,2.1536,121,4,3,15
122,-1,2008-05-08 20:04:00,16.6036,23.3964,29.6268,5.97,1.7168,122,4,3,20
123,-1,2008-05-08 21:07:00,16.5255,23.4745,32.6465,5.16,1.7499,123,4,3,21
124,-1,2008-05-08 21:22:00,29.1918,10.8082,17.4684,21.82,6.0832,124,4,3,21
125,-1,2008-05-08 23:02:00,10.08,29.92,40.5205,13.94,3.6655,125,4,3,23
126,-1,2008-05-08 23:06:00,3.9055,36.0945,45.7731,8.66,2.822,126,4,3,23
127,-1,2008-05-08 23:38:00,26.6527,13.3473,20.6385,13.09,3.5631,127,4,3,23
128,-1,2008-06-08 00:04:00,17.6864,22.3136,27.4474,9.52,2.8058,128,5,6,0
129,-1,2008-06-08 02:20:00,15.0182,24.9818,33.8496,7.15,2.0432,129,5,6,2
130,-1,2008-06-08 03:22:00,15.7936,24.2064,30.2922,4.92,1.4173,130,5,6,3
131,1,2008-06-08 05:40:00,6.6636,33.3364,43.541000000000004,19.99,4.7847,131,5,6,5
132,-1,2008-06-08 09:56:00,10.2109,29.7891,39.6865,7.25,2.4971,132,5,6,9
133,-1,2008-06-08 09:57:00,-19.1518,39.1518,46.9227,5.17,1.6553,133,5,6,9
134,-1,2008-06-08 12:33:00,22.2164,17.7836,23.5906,8.35,2.3363,134,5,6,12
135,-1,2008-06-08 13:35:00,25.8364,14.1636,19.9565,10.36,3.424,135,5,6,13
136,-1,2008-06-08 17:35:00,25.9591,14.0409,21.3459,12.6,3.3713,136,5,6,17
137,-1,2008-06-08 18:00:00,23.8864,16.1136,23.7582,5.27,1.5627,137,5,6,18
138,-1,2008-06-08 18:34:00,23.0364,16.9636,23.0148,7.44,2.6587,138,5,6,18
139,-1,2008-06-08 19:13:00,22.7418,17.2582,22.7338,7.47,2.2798,139,5,6,19
140,-1,2008-06-08 19:24:00,-9.2836,29.2836,39.6517,8.39,2.3042,140,5,6,19
141,-1,2008-06-08 20:00:00,-17.9336,37.9336,50.0217,7.33,1.8287,141,5,6,20
142,-1,2008-06-08 20:17:00,23.5609,16.4391,24.1144,6.55,1.7575,142,5,6,20
143,-1,2008-06-08 21:15:00,-8.3127,48.3127,50.757,6.33,1.9952,143,5,6,21
144,-1,2008-06-08 22:27:00,5.3382,34.6618,45.4012,9.26,3.2522,144,5,6,22
145,-1,2008-06-08 23:40:00,23.8745,16.1255,24.9379,8.2,2.6497,145,5,6,23
146,-1,2008-06-08 23:45:00,27.3427,12.6573,20.2591,10.31,3.2989,146,5,6,23
147,-1,2008-07-08 00:51:00,17.3018,22.6982,29.5,9.64,2.5511,147,6,1,0
148,-1,2008-07-08 07:30:00,26.2655,13.7345,20.9603,10.85,3.2777,148,6,1,7
149,-1,2008-07-08 08:21:00,-21.2055,41.2055,49.0237,8.7,2.9108,149,6,1,8
150,-1,2008-07-08 08:45:00,-7.5382,27.5382,36.8645,5.24,1.5908,150,6,1,8
151,-1,2008-07-08 08:55:00,4.3109,15.6891,18.6087,6.76,2.0215,151,6,1,8
152,-1,2008-07-08 10:12:00,29.1164,10.8836,17.7568,10.88,2.6404,152,6,1,10
153,-1,2008-07-08 11:10:00,15.8609,24.1391,32.8478,4.03,1.4049,153,6,1,11
154,1,2008-07-08 11:40:00,26.7745,13.2255,20.1161,8.78,2.6203,154,6,1,11
155,-1,2008-08-08 04:55:00,-3.2509,23.2509,32.6343,10.79,2.84,155,7,4,4
156,-1,2008-08-08 07:26:00,0.2309,19.7691,28.0695,8.94,2.2657,156,7,4,7
157,1,2008-08-08 08:44:00,26.4509,13.5491,16.2355,5.43,1.6207,157,7,4,8
158,1,2008-08-08 12:37:00,-12.1527,32.1527,42.2381,7.17,2.0092,158,7,4,12
159,-1,2008-08-08 20:21:00,-1.5664,41.5664,52.5262,5.64,1.8819,159,7,4,20
160,-1,2008-08-08 21:22:00,14.6455,25.3545,34.5155,9.31,2.7949,160,7,4,21
161,-1,2008-08-08 21:53:00,9.6745,30.3255,39.7935,8.33,2.6319999999999997,161,7,4,21
162,-1,2008-08-08 22:06:00,9.8418,30.1582,40.4755,7.24,2.0241,162,7,4,22
163,-1,2008-08-08 22:25:00,-5.8682,25.8682,33.58,5.7,1.7782,163,7,4,22
164,-1,2008-09-08 02:15:00,-12.1373,32.1373,41.9354,5.1,1.5655,164,8,0,2
165,-1,2008-09-08 02:37:00,12.8364,27.1636,35.2117,6.28,2.0938,165,8,0,2
166,-1,2008-09-08 06:05:00,9.4982,30.5018,40.6543,6.16,2.0918,166,8,0,6
167,1,2008-09-08 09:16:00,2.5827,37.4173,48.12,12.19,3.3769,167,8,0,9
168,-1,2008-09-08 09:22:00,15.1073,24.8927,34.6316,10.05,2.9288,168,8,0,9
169,1,2008-09-08 11:42:00,4.4282,35.5718,45.5115,10.2,3.2621,169,8,0,11
170,-1,2008-09-08 17:34:00,17.7927,22.2073,31.3063,12.49,3.1918,170,8,0,17
171,-1,2008-09-08 19:03:00,22.7927,17.2073,24.8429,12.74,3.2629,171,8,0,19
172,-1,2008-09-08 20:04:00,4.6609,35.3391,45.4755,6.31,2.2613,172,8,0,20
173,-1,2008-09-08 21:07:00,26.0509,13.9491,22.4251,6.67,2.0284,173,8,0,21
174,-1,2008-09-08 22:15:00,17.1673,22.8327,31.2675,7.45,2.0614,174,8,0,22
175,-1,2008-09-08 22:37:00,27.7282,12.2718,16.8014,12.22,3.2699,175,8,0,22
176,-1,2008-09-08 23:17:00,-13.1245,33.1245,43.9105,4.31,1.2781,176,8,0,23
177,-1,2008-09-08 23:34:00,-10.8745,30.8745,38.597,5.65,1.8085,177,8,0,23
178,-1,2008-10-08 00:09:00,-13.3573,33.3573,41.8842,4.15,1.2483,178,9,2,0
179,-1,2008-10-08 00:46:00,-2.2809,22.2809,26.5902,5.92,1.9316,179,9,2,0
180,1,2008-10-08 06:00:00,4.9745,35.0255,46.6654,5.16,1.584,180,9,2,6
181,-1,2008-10-08 06:41:00,0.3764,19.6236,24.846999999999998,4.32,1.4101,181,9,2,6
182,1,2008-10-08 07:01:00,27.4136,12.5864,19.9389,14.84,4.7546,182,9,2,7
183,-1,2008-10-08 11:16:00,-10.1291,30.1291,39.6821,11.97,3.2042,183,9,2,11
184,-1,2008-10-08 11:49:00,-11.4709,31.4709,39.091,4.73,1.5024,184,9,2,11
185,-1,2008-10-08 12:22:00,3.8964,16.1036,21.9235,5.45,1.7477,185,9,2,12
186,1,2008-10-08 15:59:00,12.8982,27.1018,34.6022,11.84,3.0894,186,9,2,15
187,-1,2008-10-08 19:07:00,0.4836,39.5164,49.9263,9.44,2.484,187,9,2,19
188,1,2008-10-08 20:07:00,12.3073,27.6927,34.9855,20.75,5.6222,188,9,2,20
189,1,2008-10-08 22:26:00,21.7573,18.2427,21.8247,8.24,2.0066,189,9,2,22
190,-1,2008-11-08 03:06:00,10.0236,29.9764,38.1045,11.65,3.8452,190,10,5,3
191,-1,2008-11-08 04:09:00,8.0636,31.9364,39.8719,9.01,2.4236,191,10,5,4
192,-1,2008-11-08 05:15:00,2.0427,37.9573,48.6919,12.87,3.378,192,10,5,5
193,-1,2008-11-08 11:35:00,17.4,22.6,30.1062,7.23,2.4162,193,10,5,11
194,-1,2008-11-08 12:38:00,3.28,36.72,47.3726,5.41,1.7975,194,10,5,12
195,-1,2008-12-08 04:23:00,9.2527,10.7473,15.1094,4.28,1.2496,195,11,0,4
196,-1,2008-12-08 06:16:00,-17.3591,37.3591,47.6581,10.43,3.0397,196,11,0,6
197,-1,2008-12-08 10:54:00,-9.4964,29.4964,37.1656,6.3,2.0119,197,11,0,10
198,-1,2008-12-08 11:29:00,-7.9627,27.9627,30.2755,5.68,1.6547,198,11,0,11
199,-1,2008-12-08 12:04:00,1.1173,38.8827,49.2895,5.87,1.8434,199,11,0,12
200,-1,2008-08-13 02:48:00,8.3918,31.6082,39.8602,6.71,2.1984,200,7,2,2
201,-1,2008-08-15 03:26:00,-15.5318,35.5318,42.2686,5.06,1.3677,201,7,4,3
202,-1,2008-08-15 04:14:00,9.6564,30.3436,39.4515,11.81,3.1057,202,7,4,4
203,-1,2008-08-15 05:13:00,13.7,26.3,30.7798,8.06,2.7517,203,7,4,5
204,-1,2008-08-15 09:38:00,6.5191,13.4809,20.1394,9.44,2.5844,204,7,4,9
205,-1,2008-08-15 10:14:00,5.3118,14.6882,18.8275,5.34,1.6628,205,7,4,10
206,-1,2008-08-15 11:42:00,7.7745,32.2255,39.9106,5.0,1.6249,206,7,4,11
207,-1,2008-08-15 18:19:00,23.9018,16.0982,20.7358,12.32,3.8363,207,7,4,18
208,-1,2008-08-15 19:19:00,-0.3327,20.3327,25.0247,9.39,2.7999,208,7,4,19
209,-1,2008-08-15 20:00:00,20.7782,19.2218,26.2905,17.29,5.9355,209,7,4,20
210,-1,2008-08-15 20:03:00,24.26,15.74,18.2764,5.72,1.8207,210,7,4,20
211,-1,2008-08-15 23:31:00,6.7073,13.2927,19.3876,6.57,1.9296,211,7,4,23
212,-1,2008-08-16 02:21:00,29.7264,10.2736,13.7158,10.68,3.3323,212,7,5,2
213,-1,2008-08-16 05:47:00,11.4855,28.5145,36.4489,9.74,3.1945,213,7,5,5
214,-1,2008-08-16 06:52:00,28.3127,11.6873,14.9671,6.68,2.4414,214,7,5,6
215,-1,2008-08-16 07:33:00,13.7255,26.2745,35.0597,5.88,1.7161,215,7,5,7
216,-1,2008-08-16 08:39:00,18.8673,21.1327,26.8975,10.89,3.1074,216,7,5,8
217,-1,2008-08-16 08:41:00,5.5782,14.4218,21.4764,6.65,2.1204,217,7,5,8
218,1,2008-08-16 09:44:00,25.5282,14.4718,18.5633,7.93,2.0851,218,7,5,9
219,-1,2008-08-16 13:51:00,5.9945,14.0055,16.1776,5.1,1.5504,219,7,5,13
220,-1,2008-08-16 14:30:00,2.7764,17.2236,24.1247,10.78,2.7606,220,7,5,14
221,-1,2008-08-16 15:16:00,2.6173,17.3827,21.7381,8.69,2.1365,221,7,5,15
222,1,2008-08-16 15:19:00,20.8336,19.1664,27.9009,11.39,3.4516,222,7,5,15
223,-1,2008-08-16 23:48:00,27.3,12.7,19.1593,13.03,3.5204,223,7,5,23
224,-1,2008-08-17 00:52:00,5.4191,14.5809,21.3926,6.36,1.8334,224,7,6,0
225,-1,2008-08-17 01:53:00,5.9136,14.0864,21.0896,4.49,1.3354,225,7,6,1
226,-1,2008-08-17 03:17:00,5.3782,14.6218,21.6961,8.09,2.5279,226,7,6,3
227,-1,2008-08-17 03:18:00,-11.2309,31.2309,39.0971,10.01,2.5998,227,7,6,3
228,-1,2008-08-17 03:46:00,-1.8473,41.8473,52.5657,13.31,3.5894,228,7,6,3
229,-1,2008-08-17 04:19:00,25.43,14.57,18.3175,13.79,4.2895,229,7,6,4
230,-1,2008-08-17 05:21:00,15.4555,24.5445,33.2277,23.54,6.0803,230,7,6,5
231,1,2008-08-17 12:16:00,0.7582,19.2418,28.0488,10.2,3.077,231,7,6,12
232,-1,2008-08-17 13:34:00,-12.0473,32.0473,38.5498,16.65,4.4768,232,7,6,13
233,-1,2008-08-17 14:21:00,-10.2673,30.2673,35.9269,15.59,4.5729,233,7,6,14
234,-1,2008-08-17 15:25:00,1.1591,18.8409,26.7301,10.47,3.415,234,7,6,15
235,1,2008-08-17 21:26:00,-11.8245,31.8245,39.6487,6.8,2.2319,235,7,6,21
236,1,2008-08-17 22:03:00,8.4236,31.5764,40.0125,15.02,4.1617,236,7,6,22
237,-1,2008-08-17 22:21:00,18.6045,21.3955,31.416,30.92,7.6255,237,7,6,22
238,1,2008-08-17 23:04:00,8.9764,31.0236,39.7661,15.27,4.1887,238,7,6,23
239,-1,2008-08-17 23:20:00,0.7218,19.2782,23.4212,5.95,2.0076,239,7,6,23
240,1,2008-08-17 23:55:00,-1.42,21.42,27.1504,10.79,3.0793,240,7,6,23
241,1,2008-08-18 00:02:00,9.2082,30.7918,36.9278,14.19,4.3203,241,7,0,0
242,-1,2008-08-18 00:20:00,12.1609,27.8391,37.9497,8.2,2.3617,242,7,0,0
243,1,2008-08-18 01:23:00,8.5273,31.4727,39.0387,11.86,3.5348,243,7,0,1
244,1,2008-08-18 04:01:00,17.1745,22.8255,31.0321,14.03,3.8033,244,7,0,4
245,-1,2008-08-18 04:12:00,5.7855,14.2145,21.1888,18.65,4.7611,245,7,0,4
246,-1,2008-08-18 04:35:00,14.4382,25.5618,32.4142,14.68,3.9876,246,7,0,4
247,-1,2008-08-18 05:03:00,11.6964,28.3036,32.0454,11.09,3.0366,247,7,0,5
248,-1,2008-08-18 05:25:00,18.0545,21.9455,25.0574,9.89,3.0833,248,7,0,5
249,-1,2008-08-18 06:07:00,20.7055,19.2945,24.1262,11.28,3.9288,249,7,0,6
250,-1,2008-08-18 06:11:00,1.1273,18.8727,24.2043,4.17,1.4112,250,7,0,6
251,-1,2008-08-18 06:26:00,16.4073,23.5927,31.6904,10.0,2.5255,251,7,0,6
252,-1,2008-08-18 07:11:00,5.4018,14.5982,19.9951,4.81,1.5030000000000001,252,7,0,7
253,-1,2008-08-18 07:23:00,26.8609,13.1391,16.6703,8.94,2.8191,253,7,0,7
254,-1,2008-08-18 07:29:00,23.7709,16.2291,22.9026,7.49,2.2863,254,7,0,7
255,-1,2008-08-18 08:18:00,-0.84,20.84,30.0404,11.02,3.5439999999999996,255,7,0,8
256,-1,2008-08-18 08:31:00,25.4264,14.5736,21.5935,9.8,2.6677,256,7,0,8
257,-1,2008-08-18 10:13:00,26.6136,13.3864,17.8522,6.42,2.1561,257,7,0,10
258,-1,2008-08-18 11:04:00,-6.5391,26.5391,33.0144,8.71,3.0266,258,7,0,11
259,-1,2008-08-18 12:00:00,0.1518,19.8482,24.7192,4.32,1.4223,259,7,0,12
260,-1,2008-08-18 12:06:00,2.8245,17.1755,23.8635,6.19,2.0239,260,7,0,12
261,-1,2008-08-18 12:22:00,12.1818,27.8182,30.5016,8.88,2.5868,261,7,0,12
262,-1,2008-08-18 12:49:00,19.5609,20.4391,27.7378,9.98,2.6272,262,7,0,12
263,-1,2008-08-18 13:07:00,-1.1609,21.1609,26.3122,8.74,2.7681,263,7,0,13
264,-1,2008-08-18 14:01:00,18.63,21.37,28.1907,5.63,1.9952,264,7,0,14
265,-1,2008-08-18 14:04:00,20.7118,19.2882,25.5875,7.01,1.781,265,7,0,14
266,-1,2008-08-18 14:45:00,-11.9682,31.9682,40.3963,10.18,2.695,266,7,0,14
267,-1,2008-08-18 15:00:00,16.8445,23.1555,31.7791,14.53,3.9848,267,7,0,15
268,-1,2008-08-18 15:26:00,14.0382,25.9618,32.567,12.84,3.7343,268,7,0,15
269,-1,2008-08-18 15:30:00,28.4009,11.5991,14.405999999999999,4.48,1.3269,269,7,0,15
270,-1,2008-08-18 15:33:00,22.1827,17.8173,22.1373,12.74,3.5607,270,7,0,15
271,-1,2008-08-18 15:41:00,9.1882,30.8118,37.258,9.02,2.903,271,7,0,15
272,-1,2008-08-18 16:19:00,1.5018,18.4982,23.6088,15.93,3.9325,272,7,0,16
273,1,2008-08-18 17:13:00,16.0155,23.9845,30.1316,12.89,4.1927,273,7,0,17
274,-1,2008-08-18 17:16:00,2.5027,17.4973,22.1827,11.44,3.1231,274,7,0,17
275,-1,2008-08-18 17:37:00,87.0391,32.896,84.5752,186.82,63.1255,275,7,0,17
276,-1,2008-08-18 19:24:00,0.7591,19.2409,25.8222,6.14,1.8538,276,7,0,19
277,1,2008-08-18 19:54:00,9.8782,30.1218,37.9277,10.27,3.1527,277,7,0,19
