Pivot Field Names,Avg. Pivot Field Values
315,0
314,0
313,0
312,0.160148769
311,0.097487073
310,0.304294118
309,0.128761286
308,0.218428796
307,0.128760807
306,0.048600479
305,0.264598085
304,0.132207524
303,0.040314227
302,0.402042202
301,0.905926402
300,0.113453899
299,0.057210944
298,0.062057387
297,"2,346.19"
296,"1,887.54"
295,246.0590158
294,391.4182911
293,331.6545546
292,0.014610769
291,0.019926179
290,0.12445282
289,2.579700959
288,0.003903904
287,0.376992534
286,4.315229658
285,2.122967671
284,0
283,2.814433196
282,0.005746954
281,0.015164613
280,0.018120808
279,0.041264408
278,0.001120702
277,2.213824776
276,0
275,9.309547412
274,136.4140935
273,20.15590041
272,41.1515661
271,45.92827063
270,29.32367702
269,3.772312027
268,19.49130516
267,0.070705155
266,0
265,0
264,0
263,0
262,0
261,0
260,0
259,0
258,0
257,0
256,0
255,0.404224334
254,0.013995557
253,0.033148506
252,4.758911893
251,0.004387833
250,109.5496234
249,0.000785783
248,0.025054272
247,0.051741357
246,4.168471098
245,1.753211561
244,0.005956647
243,0
242,0
241,0
240,0
239,0.004584805
238,0.004780424
237,0
236,0
235,0
234,0
233,0
232,0
231,0
230,0
229,0
228,0.017812731
227,0.019005407
226,0
225,"1,038.71"
224,0.059092074
223,122.8622751
222,0.008354614
221,0.060583322
220,0.009237674
219,0.003248656
218,3.776088372
217,0.071491313
216,0.083369632
215,0.081226755
214,0.083766018
213,0.059718902
212,0.05141091
211,0.05645893
210,0.087706532
209,0.031674674
208,73.43497598
207,20.21087165
206,0.001372684
205,8.884742622
204,27.64154303
203,29.86101139
202,10.11800337
201,7.800068681
200,17.45947115
199,11.30370625
198,0.551664379
197,19.93495539
196,8.464258242
195,0.283186986
194,0
193,0
192,0
191,0
190,0
189,0
188,42.93837346
187,17.92319419
186,0
185,7.382995896
184,0.144721888
183,26.55982408
182,10.81525992
181,0.549363201
180,19.08270178
179,0
178,0
177,0.395033516
176,0.245003694
175,0.776713269
174,0.319406293
173,0.576378933
172,0.31940643
171,0.12000896
170,0.682792202
169,0.401055404
168,0.12430301
167,1.232010944
166,2.773324213
165,0.242919973
164,0.122276334
163,0.136956908
162,"4,807.29"
161,"4,088.90"
160,541.6046512
159,862.2756498
158,"1,027.46"
157,0.047586923
156,0.058043131
155,0.515072902
154,7.695783836
153,0.011872329
152,1.225472329
151,14.23282329
150,6.824760959
149,0
148,8.499317591
147,0.017352841
146,0.055263518
145,0.063932307
144,0.120635592
143,0.004184457
142,6.656245687
141,0
140,27.92675825
139,417.1042008
138,57.44575459
137,122.278243
136,138.0320522
135,118.3820302
134,39.41640234
133,"1,003.92"
132,2.31853945
131,0.997797524
130,0.743280261
129,-0.587959422
128,3.189916781
127,0.651195805
126,2.746995873
125,1.191248281
124,15.79183631
123,15.82756534
122,3.917335626
121,15.79416094
120,6.31153486
119,0.970763705
118,0.598461501
117,58.65480882
116,0.987162611
115,747.9533278
114,9.20E-05
113,0.945419891
112,0.45692356
111,231.8765227
110,101.293731
109,0.980006551
108,-0.010804942
107,-0.001409677
106,0.000562526
105,-0.000498284
104,-5.82E-06
103,-0.009912663
102,0.001841661
101,-5.77E-06
100,-2.75E-05
99,0.000761771
98,-0.015781606
97,0
96,0.017688126
95,5.83E-05
94,-2.90E-05
93,-0.000565503
92,0.000514031
91,0.002220728
90,"8,833.29"
89,0.188269993
88,"1,807.43"
87,0.98252447
86,2.401623035
85,0.112851628
84,0.133119366
83,7.455438235
82,0.006180612
81,-0.021261362
80,-0.018120709
79,0.002979083
78,-0.013082835
77,-0.007087074
76,-0.028893398
75,-0.007070535
74,0.002879547
73,468.1360816
72,150.3160767
71,104.3462796
70,619.2342211
69,1
68,147.4965623
67,13.46825333
66,706.7896904
65,27.02749554
64,20.44029052
63,13.87594107
62,116.5461522
61,10.42222951
60,355.1886286
59,2.563464217
58,4.592049384
57,0.949236781
56,0.928733699
55,"2,856.23"
54,4.838299315
53,4.592872603
52,0
51,157.3234467
50,632.2891719
49,1
48,139.9906475
47,1.176534063
46,733.7033568
45,136.7255901
44,10.03224679
43,355.5729319
42,70
41,3.351491869
40,68.23984156
39,118.6805792
38,86.83031081
37,66.21792216
36,49.41817018
35,64.56421758
34,50.58183892
33,8.931261765
32,85.30929938
31,3.680182421
30,0.183832148
29,2.364332969
28,69.59803235
27,6.648314159
26,1.942575445
25,1.205566895
24,-284.4415183
23,"-3,811.04"
22,"2,705.16"
21,"-5,636.44"
20,1.404950513
19,12.47925605
18,190.0539229
17,0.971475137
16,9.906091575
15,413.0992897
14,9.056840548
13,0
12,199.9619951
11,0.964461123
10,6.23E-05
9,-0.000715264
8,1.462309446
7,0.121790371
6,101.0857732
5,100
4,4.40469793
3,"1,399.29"
2,"2,200.55"
1,"2,495.91"
0,"3,014.95"
