,RESULTS,TIMESTAMP,V17,V26,V60,V65,V66,INDEX,m,d,h
97,-1,2008-04-08 21:43:00,10.3122,1.2717,28.4227,11.5773,17.7542,97,3,1,21
98,-1,2008-04-08 22:51:00,10.3165,0.987,24.4727,15.5273,19.7605,98,3,1,22
99,-1,2008-04-08 23:33:00,9.1935,0.2367,5.1345,34.8655,40.4495,99,3,1,23
100,-1,2008-05-08 00:04:00,10.2777,1.2877,24.8064,15.1936,19.4876,100,4,3,0
101,-1,2008-05-08 01:12:00,9.5313,1.003,27.6182,12.3818,16.218,101,4,3,1
102,-1,2008-05-08 02:15:00,9.5094,0.9945,20.5864,19.4136,27.3648,102,4,3,2
103,-1,2008-05-08 02:36:00,10.3441,0.9808,27.6655,12.3345,18.6255,103,4,3,2
104,-1,2008-05-08 02:45:00,9.4655,0.9692,29.0264,10.9736,18.2111,104,4,3,2
105,-1,2008-05-08 03:17:00,10.3933,0.9807,27.7364,12.2636,19.7743,105,4,3,3
106,-1,2008-05-08 03:36:00,9.4541,0.9723,24.8282,15.1718,20.2521,106,4,3,3
107,-1,2008-05-08 03:54:00,9.8652,0.9593,24.6118,15.3882,22.1592,107,4,3,3
108,-1,2008-05-08 04:32:00,9.4543,1.2942,27.7155,12.2845,18.9827,108,4,3,4
109,-1,2008-05-08 04:35:00,10.3001,0.9753,23.7864,16.2136,21.1535,109,4,3,4
110,-1,2008-05-08 05:11:00,10.7339,1.3017,20.6,19.4,25.2665,110,4,3,5
111,-1,2008-05-08 06:10:00,10.077,0.99,29.7509,10.2491,16.2643,111,4,3,6
112,-1,2008-05-08 06:11:00,9.4815,1.2735,23.9945,16.0055,23.4847,112,4,3,6
113,-1,2008-05-08 06:21:00,10.2926,1.2793,16.7909,23.2091,29.5358,113,4,3,6
114,-1,2008-05-08 07:12:00,10.2747,0.971,23.7136,16.2864,21.8375,114,4,3,7
115,1,2008-05-08 07:12:00,9.4372,1.2722,18.5764,21.4236,30.0601,115,4,3,7
116,-1,2008-05-08 07:48:00,10.286,0.9682,24.2918,15.7082,21.5957,116,4,3,7
117,-1,2008-05-08 08:50:00,10.4161,1.2848,25.5127,14.4873,22.1353,117,4,3,8
118,-1,2008-05-08 09:48:00,10.3131,1.3013,26.7064,13.2936,20.442999999999998,118,4,3,9
119,-1,2008-05-08 14:17:00,9.1952,1.3055,8.9136,31.0864,41.2374,119,4,3,14
120,-1,2008-05-08 14:45:00,10.3346,1.273,8.9418,31.0582,39.9438,120,4,3,14
121,-1,2008-05-08 15:45:00,10.2041,0.909,6.9918,33.0082,44.0701,121,4,3,15
122,-1,2008-05-08 20:04:00,10.786,1.2923,16.6036,23.3964,29.6268,122,4,3,20
123,-1,2008-05-08 21:07:00,10.3635,1.2432,16.5255,23.4745,32.6465,123,4,3,21
124,-1,2008-05-08 21:22:00,9.5521,1.278,29.1918,10.8082,17.4684,124,4,3,21
125,-1,2008-05-08 23:02:00,10.1442,1.2695,10.08,29.92,40.5205,125,4,3,23
126,-1,2008-05-08 23:06:00,9.1855,1.2577,3.9055,36.0945,45.7731,126,4,3,23
127,-1,2008-05-08 23:38:00,10.5682,1.2517,26.6527,13.3473,20.6385,127,4,3,23
128,-1,2008-06-08 00:04:00,9.6527,1.2868,17.6864,22.3136,27.4474,128,5,6,0
129,-1,2008-06-08 02:20:00,9.6506,1.2673,15.0182,24.9818,33.8496,129,5,6,2
130,-1,2008-06-08 03:22:00,10.3046,1.2737,15.7936,24.2064,30.2922,130,5,6,3
131,1,2008-06-08 05:40:00,9.7109,1.295,6.6636,33.3364,43.541000000000004,131,5,6,5
132,-1,2008-06-08 09:56:00,10.4655,1.2412,10.2109,29.7891,39.6865,132,5,6,9
133,-1,2008-06-08 09:57:00,9.3766,0.8938,-19.1518,39.1518,46.9227,133,5,6,9
134,-1,2008-06-08 12:33:00,9.7499,1.2675,22.2164,17.7836,23.5906,134,5,6,12
135,-1,2008-06-08 13:35:00,9.7481,1.2919999999999998,25.8364,14.1636,19.9565,135,5,6,13
136,-1,2008-06-08 17:35:00,10.7572,0.9855,25.9591,14.0409,21.3459,136,5,6,17
137,-1,2008-06-08 18:00:00,9.9339,0.9595,23.8864,16.1136,23.7582,137,5,6,18
138,-1,2008-06-08 18:34:00,9.712,0.9842,23.0364,16.9636,23.0148,138,5,6,18
139,-1,2008-06-08 19:13:00,9.4602,0.9737,22.7418,17.2582,22.7338,139,5,6,19
140,-1,2008-06-08 19:24:00,10.0681,0.9848,-9.2836,29.2836,39.6517,140,5,6,19
141,-1,2008-06-08 20:00:00,10.1625,0.9765,-17.9336,37.9336,50.0217,141,5,6,20
142,-1,2008-06-08 20:17:00,10.4762,0.9715,23.5609,16.4391,24.1144,142,5,6,20
143,-1,2008-06-08 21:15:00,10.1297,0.4417,-8.3127,48.3127,50.757,143,5,6,21
144,-1,2008-06-08 22:27:00,10.6526,0.21899999999999997,5.3382,34.6618,45.4012,144,5,6,22
145,-1,2008-06-08 23:40:00,10.097999999999999,1.2612,23.8745,16.1255,24.9379,145,5,6,23
146,-1,2008-06-08 23:45:00,9.7663,0.9825,27.3427,12.6573,20.2591,146,5,6,23
147,-1,2008-07-08 00:51:00,10.5235,1.261,17.3018,22.6982,29.5,147,6,1,0
148,-1,2008-07-08 07:30:00,10.54,0.9708,26.2655,13.7345,20.9603,148,6,1,7
149,-1,2008-07-08 08:21:00,10.4996,0.907,-21.2055,41.2055,49.0237,149,6,1,8
150,-1,2008-07-08 08:45:00,10.1964,1.3295,-7.5382,27.5382,36.8645,150,6,1,8
151,-1,2008-07-08 08:55:00,10.5284,1.3115,4.3109,15.6891,18.6087,151,6,1,8
152,-1,2008-07-08 10:12:00,9.9372,0.9775,29.1164,10.8836,17.7568,152,6,1,10
153,-1,2008-07-08 11:10:00,9.6793,1.3015,15.8609,24.1391,32.8478,153,6,1,11
154,1,2008-07-08 11:40:00,10.7177,0.9955,26.7745,13.2255,20.1161,154,6,1,11
155,-1,2008-08-08 04:55:00,10.7668,0.9865,-3.2509,23.2509,32.6343,155,7,4,4
156,-1,2008-08-08 07:26:00,10.5142,1.2927,0.2309,19.7691,28.0695,156,7,4,7
157,1,2008-08-08 08:44:00,8.0711,0.97,26.4509,13.5491,16.2355,157,7,4,8
158,1,2008-08-08 12:37:00,9.8767,0.9853,-12.1527,32.1527,42.2381,158,7,4,12
159,-1,2008-08-08 20:21:00,9.4522,1.2615,-1.5664,41.5664,52.5262,159,7,4,20
160,-1,2008-08-08 21:22:00,9.6394,1.249,14.6455,25.3545,34.5155,160,7,4,21
161,-1,2008-08-08 21:53:00,9.9547,1.2745,9.6745,30.3255,39.7935,161,7,4,21
162,-1,2008-08-08 22:06:00,9.7123,1.2803,9.8418,30.1582,40.4755,162,7,4,22
163,-1,2008-08-08 22:25:00,10.2585,0.6873,-5.8682,25.8682,33.58,163,7,4,22
164,-1,2008-09-08 02:15:00,10.5147,1.2745,-12.1373,32.1373,41.9354,164,8,0,2
165,-1,2008-09-08 02:37:00,9.4018,1.2705,12.8364,27.1636,35.2117,165,8,0,2
166,-1,2008-09-08 06:05:00,9.6762,1.2628,9.4982,30.5018,40.6543,166,8,0,6
167,1,2008-09-08 09:16:00,9.4154,1.28,2.5827,37.4173,48.12,167,8,0,9
168,-1,2008-09-08 09:22:00,9.7516,1.2858,15.1073,24.8927,34.6316,168,8,0,9
169,1,2008-09-08 11:42:00,9.9098,1.2875,4.4282,35.5718,45.5115,169,8,0,11
170,-1,2008-09-08 17:34:00,9.9009,1.27,17.7927,22.2073,31.3063,170,8,0,17
171,-1,2008-09-08 19:03:00,9.4318,1.2635,22.7927,17.2073,24.8429,171,8,0,19
172,-1,2008-09-08 20:04:00,9.9242,0.6518,4.6609,35.3391,45.4755,172,8,0,20
173,-1,2008-09-08 21:07:00,9.3644,0.9825,26.0509,13.9491,22.4251,173,8,0,21
174,-1,2008-09-08 22:15:00,9.7024,1.2368,17.1673,22.8327,31.2675,174,8,0,22
175,-1,2008-09-08 22:37:00,9.5947,0.9863,27.7282,12.2718,16.8014,175,8,0,22
176,-1,2008-09-08 23:17:00,9.8714,0.9640000000000001,-13.1245,33.1245,43.9105,176,8,0,23
177,-1,2008-09-08 23:34:00,9.9055,1.2657,-10.8745,30.8745,38.597,177,8,0,23
178,-1,2008-10-08 00:09:00,10.6319,1.28,-13.3573,33.3573,41.8842,178,9,2,0
179,-1,2008-10-08 00:46:00,9.8774,0.9715,-2.2809,22.2809,26.5902,179,9,2,0
180,1,2008-10-08 06:00:00,9.5528,1.2483,4.9745,35.0255,46.6654,180,9,2,6
181,-1,2008-10-08 06:41:00,9.5153,1.3013,0.3764,19.6236,24.846999999999998,181,9,2,6
182,1,2008-10-08 07:01:00,9.8867,1.275,27.4136,12.5864,19.9389,182,9,2,7
183,-1,2008-10-08 11:16:00,9.941,0.4527,-10.1291,30.1291,39.6821,183,9,2,11
184,-1,2008-10-08 11:49:00,10.6284,0.9718,-11.4709,31.4709,39.091,184,9,2,11
185,-1,2008-10-08 12:22:00,10.0516,1.2913,3.8964,16.1036,21.9235,185,9,2,12
186,1,2008-10-08 15:59:00,9.3127,0.2315,12.8982,27.1018,34.6022,186,9,2,15
187,-1,2008-10-08 19:07:00,9.6716,1.2748,0.4836,39.5164,49.9263,187,9,2,19
188,1,2008-10-08 20:07:00,9.4571,1.2592,12.3073,27.6927,34.9855,188,9,2,20
189,1,2008-10-08 22:26:00,9.9513,0.958,21.7573,18.2427,21.8247,189,9,2,22
190,-1,2008-11-08 03:06:00,10.0903,1.311,10.0236,29.9764,38.1045,190,10,5,3
191,-1,2008-11-08 04:09:00,10.083,1.294,8.0636,31.9364,39.8719,191,10,5,4
192,-1,2008-11-08 05:15:00,10.0985,1.2818,2.0427,37.9573,48.6919,192,10,5,5
193,-1,2008-11-08 11:35:00,10.0974,1.2813,17.4,22.6,30.1062,193,10,5,11
194,-1,2008-11-08 12:38:00,10.3797,1.2815,3.28,36.72,47.3726,194,10,5,12
195,-1,2008-12-08 04:23:00,10.5223,0.4552,9.2527,10.7473,15.1094,195,11,0,4
196,-1,2008-12-08 06:16:00,9.4214,0.4477,-17.3591,37.3591,47.6581,196,11,0,6
197,-1,2008-12-08 10:54:00,10.1262,0.9918,-9.4964,29.4964,37.1656,197,11,0,10
198,-1,2008-12-08 11:29:00,9.3528,1.251,-7.9627,27.9627,30.2755,198,11,0,11
199,-1,2008-12-08 12:04:00,10.2131,1.2690000000000001,1.1173,38.8827,49.2895,199,11,0,12
200,-1,2008-08-13 02:48:00,10.4427,1.3168,8.3918,31.6082,39.8602,200,7,2,2
201,-1,2008-08-15 03:26:00,10.4585,1.29,-15.5318,35.5318,42.2686,201,7,4,3
202,-1,2008-08-15 04:14:00,9.5536,0.9637,9.6564,30.3436,39.4515,202,7,4,4
203,-1,2008-08-15 05:13:00,10.4299,1.2698,13.7,26.3,30.7798,203,7,4,5
204,-1,2008-08-15 09:38:00,9.8416,0.9775,6.5191,13.4809,20.1394,204,7,4,9
205,-1,2008-08-15 10:14:00,9.9413,1.2995,5.3118,14.6882,18.8275,205,7,4,10
206,-1,2008-08-15 11:42:00,10.3654,0.9765,7.7745,32.2255,39.9106,206,7,4,11
207,-1,2008-08-15 18:19:00,9.8124,1.2555,23.9018,16.0982,20.7358,207,7,4,18
208,-1,2008-08-15 19:19:00,10.3541,1.2988,-0.3327,20.3327,25.0247,208,7,4,19
209,-1,2008-08-15 20:00:00,10.1182,1.248,20.7782,19.2218,26.2905,209,7,4,20
210,-1,2008-08-15 20:03:00,9.6172,1.2835,24.26,15.74,18.2764,210,7,4,20
211,-1,2008-08-15 23:31:00,10.2754,1.2702,6.7073,13.2927,19.3876,211,7,4,23
212,-1,2008-08-16 02:21:00,9.9101,1.2428,29.7264,10.2736,13.7158,212,7,5,2
213,-1,2008-08-16 05:47:00,9.6664,1.2737,11.4855,28.5145,36.4489,213,7,5,5
214,-1,2008-08-16 06:52:00,9.6884,1.2797,28.3127,11.6873,14.9671,214,7,5,6
215,-1,2008-08-16 07:33:00,10.6033,1.2995,13.7255,26.2745,35.0597,215,7,5,7
216,-1,2008-08-16 08:39:00,10.3512,0.9955,18.8673,21.1327,26.8975,216,7,5,8
217,-1,2008-08-16 08:41:00,9.4274,0.9718,5.5782,14.4218,21.4764,217,7,5,8
218,1,2008-08-16 09:44:00,10.0229,0.9688,25.5282,14.4718,18.5633,218,7,5,9
219,-1,2008-08-16 13:51:00,10.3441,0.9692,5.9945,14.0055,16.1776,219,7,5,13
220,-1,2008-08-16 14:30:00,10.2848,1.287,2.7764,17.2236,24.1247,220,7,5,14
221,-1,2008-08-16 15:16:00,9.9969,1.2793,2.6173,17.3827,21.7381,221,7,5,15
222,1,2008-08-16 15:19:00,10.3504,1.2825,20.8336,19.1664,27.9009,222,7,5,15
223,-1,2008-08-16 23:48:00,10.0072,0.9768,27.3,12.7,19.1593,223,7,5,23
224,-1,2008-08-17 00:52:00,10.2875,0.9703,5.4191,14.5809,21.3926,224,7,6,0
225,-1,2008-08-17 01:53:00,10.3412,1.3037,5.9136,14.0864,21.0896,225,7,6,1
226,-1,2008-08-17 03:17:00,10.3261,0.9845,5.3782,14.6218,21.6961,226,7,6,3
227,-1,2008-08-17 03:18:00,10.3431,1.3225,-11.2309,31.2309,39.0971,227,7,6,3
228,-1,2008-08-17 03:46:00,9.9873,1.297,-1.8473,41.8473,52.5657,228,7,6,3
229,-1,2008-08-17 04:19:00,10.1897,0.9798,25.43,14.57,18.3175,229,7,6,4
230,-1,2008-08-17 05:21:00,10.005,1.273,15.4555,24.5445,33.2277,230,7,6,5
231,1,2008-08-17 12:16:00,10.3643,1.3348,0.7582,19.2418,28.0488,231,7,6,12
232,-1,2008-08-17 13:34:00,9.5037,0.9897,-12.0473,32.0473,38.5498,232,7,6,13
233,-1,2008-08-17 14:21:00,9.9361,0.9742,-10.2673,30.2673,35.9269,233,7,6,14
234,-1,2008-08-17 15:25:00,10.0345,0.98,1.1591,18.8409,26.7301,234,7,6,15
235,1,2008-08-17 21:26:00,10.1341,1.2965,-11.8245,31.8245,39.6487,235,7,6,21
236,1,2008-08-17 22:03:00,10.3911,1.29,8.4236,31.5764,40.0125,236,7,6,22
237,-1,2008-08-17 22:21:00,10.4202,1.2825,18.6045,21.3955,31.416,237,7,6,22
238,1,2008-08-17 23:04:00,9.1874,0.965,8.9764,31.0236,39.7661,238,7,6,23
239,-1,2008-08-17 23:20:00,10.7158,1.3053,0.7218,19.2782,23.4212,239,7,6,23
240,1,2008-08-17 23:55:00,10.297,1.3035,-1.42,21.42,27.1504,240,7,6,23
241,1,2008-08-18 00:02:00,10.1733,1.2773,9.2082,30.7918,36.9278,241,7,0,0
242,-1,2008-08-18 00:20:00,10.3713,0.9755,12.1609,27.8391,37.9497,242,7,0,0
243,1,2008-08-18 01:23:00,10.3906,1.2915,8.5273,31.4727,39.0387,243,7,0,1
244,1,2008-08-18 04:01:00,9.6259,0.9825,17.1745,22.8255,31.0321,244,7,0,4
245,-1,2008-08-18 04:12:00,9.6167,1.3562,5.7855,14.2145,21.1888,245,7,0,4
246,-1,2008-08-18 04:35:00,10.2655,0.9945,14.4382,25.5618,32.4142,246,7,0,4
247,-1,2008-08-18 05:03:00,10.6221,1.2928,11.6964,28.3036,32.0454,247,7,0,5
248,-1,2008-08-18 05:25:00,9.8232,1.3173,18.0545,21.9455,25.0574,248,7,0,5
249,-1,2008-08-18 06:07:00,10.2697,0.9655,20.7055,19.2945,24.1262,249,7,0,6
250,-1,2008-08-18 06:11:00,9.4318,0.978,1.1273,18.8727,24.2043,250,7,0,6
251,-1,2008-08-18 06:26:00,10.6404,0.9825,16.4073,23.5927,31.6904,251,7,0,6
252,-1,2008-08-18 07:11:00,9.3713,0.9655,5.4018,14.5982,19.9951,252,7,0,7
253,-1,2008-08-18 07:23:00,9.9445,1.3025,26.8609,13.1391,16.6703,253,7,0,7
254,-1,2008-08-18 07:29:00,9.9514,1.3077,23.7709,16.2291,22.9026,254,7,0,7
255,-1,2008-08-18 08:18:00,9.8004,0.9888,-0.84,20.84,30.0404,255,7,0,8
256,-1,2008-08-18 08:31:00,9.9935,1.3032,25.4264,14.5736,21.5935,256,7,0,8
257,-1,2008-08-18 10:13:00,9.4325,0.96,26.6136,13.3864,17.8522,257,7,0,10
258,-1,2008-08-18 11:04:00,10.071,1.3202,-6.5391,26.5391,33.0144,258,7,0,11
259,-1,2008-08-18 12:00:00,9.4449,1.335,0.1518,19.8482,24.7192,259,7,0,12
260,-1,2008-08-18 12:06:00,10.3359,0.9883,2.8245,17.1755,23.8635,260,7,0,12
261,-1,2008-08-18 12:22:00,9.8972,0.9952,12.1818,27.8182,30.5016,261,7,0,12
262,-1,2008-08-18 12:49:00,9.6315,0.9733,19.5609,20.4391,27.7378,262,7,0,12
263,-1,2008-08-18 13:07:00,9.987,1.288,-1.1609,21.1609,26.3122,263,7,0,13
264,-1,2008-08-18 14:01:00,10.0371,0.9885,18.63,21.37,28.1907,264,7,0,14
265,-1,2008-08-18 14:04:00,9.4302,0.9782,20.7118,19.2882,25.5875,265,7,0,14
266,-1,2008-08-18 14:45:00,9.4152,1.2702,-11.9682,31.9682,40.3963,266,7,0,14
267,-1,2008-08-18 15:00:00,9.6162,0.9595,16.8445,23.1555,31.7791,267,7,0,15
268,-1,2008-08-18 15:26:00,9.4102,1.327,14.0382,25.9618,32.567,268,7,0,15
269,-1,2008-08-18 15:30:00,10.0212,0.9688,28.4009,11.5991,14.405999999999999,269,7,0,15
270,-1,2008-08-18 15:33:00,9.6388,0.9785,22.1827,17.8173,22.1373,270,7,0,15
271,-1,2008-08-18 15:41:00,10.0634,0.9852,9.1882,30.8118,37.258,271,7,0,15
272,-1,2008-08-18 16:19:00,9.6426,0.9682,1.5018,18.4982,23.6088,272,7,0,16
